// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\b11de5d8-4295-4fa1-a0f6-90ef3eddf276
// command took 1.34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\b11de5d8-4295-4fa1-a0f6-90ef3eddf276
// command took 2.01s and exited with 0
// ***** Done, took 00:00:03 (3.48 sec)   *****
// Found 4 benchmarks:
//   CtorTest.new(): DefaultJob
//   CtorTest.Activator.CreateInstance: DefaultJob
//   CtorTest.'Expression.New [nocache]': DefaultJob
//   CtorTest.'Expression.New [cached]': DefaultJob

// **************************
// Benchmark: CtorTest.new(): DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b11de5d8-4295-4fa1-a0f6-90ef3eddf276.dll" --benchmarkName "CtorPerformance.CtorTest.Manual" --job "Default" --benchmarkId 0 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\b11de5d8-4295-4fa1-a0f6-90ef3eddf276\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 259200.00 ns, 259.2000 us/op
WorkloadJitting  1: 1 op, 319500.00 ns, 319.5000 us/op

OverheadJitting  2: 16 op, 182700.00 ns, 11.4187 us/op
WorkloadJitting  2: 16 op, 187600.00 ns, 11.7250 us/op

WorkloadPilot    1: 16 op, 6000.00 ns, 375.0000 ns/op
WorkloadPilot    2: 32 op, 9200.00 ns, 287.5000 ns/op
WorkloadPilot    3: 64 op, 18500.00 ns, 289.0625 ns/op
WorkloadPilot    4: 128 op, 30600.00 ns, 239.0625 ns/op
WorkloadPilot    5: 256 op, 71500.00 ns, 279.2969 ns/op
WorkloadPilot    6: 512 op, 127300.00 ns, 248.6328 ns/op
WorkloadPilot    7: 1024 op, 293200.00 ns, 286.3281 ns/op
WorkloadPilot    8: 2048 op, 605600.00 ns, 295.7031 ns/op
WorkloadPilot    9: 4096 op, 1199100.00 ns, 292.7490 ns/op
WorkloadPilot   10: 8192 op, 2666200.00 ns, 325.4639 ns/op
WorkloadPilot   11: 16384 op, 5048100.00 ns, 308.1116 ns/op
WorkloadPilot   12: 32768 op, 7535000.00 ns, 229.9500 ns/op
WorkloadPilot   13: 65536 op, 17073900.00 ns, 260.5270 ns/op
WorkloadPilot   14: 131072 op, 35015400.00 ns, 267.1463 ns/op
WorkloadPilot   15: 262144 op, 58707700.00 ns, 223.9521 ns/op
WorkloadPilot   16: 524288 op, 56580300.00 ns, 107.9184 ns/op
WorkloadPilot   17: 1048576 op, 102356100.00 ns, 97.6144 ns/op
WorkloadPilot   18: 2097152 op, 213127600.00 ns, 101.6272 ns/op
WorkloadPilot   19: 4194304 op, 403998800.00 ns, 96.3208 ns/op
WorkloadPilot   20: 8388608 op, 805666500.00 ns, 96.0429 ns/op

OverheadWarmup   1: 8388608 op, 16315800.00 ns, 1.9450 ns/op
OverheadWarmup   2: 8388608 op, 16660800.00 ns, 1.9861 ns/op
OverheadWarmup   3: 8388608 op, 16759600.00 ns, 1.9979 ns/op
OverheadWarmup   4: 8388608 op, 17826800.00 ns, 2.1251 ns/op
OverheadWarmup   5: 8388608 op, 16228300.00 ns, 1.9346 ns/op
OverheadWarmup   6: 8388608 op, 16533100.00 ns, 1.9709 ns/op
OverheadWarmup   7: 8388608 op, 17556900.00 ns, 2.0929 ns/op
OverheadWarmup   8: 8388608 op, 16519700.00 ns, 1.9693 ns/op

OverheadActual   1: 8388608 op, 16866500.00 ns, 2.0106 ns/op
OverheadActual   2: 8388608 op, 16908700.00 ns, 2.0157 ns/op
OverheadActual   3: 8388608 op, 16659700.00 ns, 1.9860 ns/op
OverheadActual   4: 8388608 op, 16719600.00 ns, 1.9931 ns/op
OverheadActual   5: 8388608 op, 16571600.00 ns, 1.9755 ns/op
OverheadActual   6: 8388608 op, 16610500.00 ns, 1.9801 ns/op
OverheadActual   7: 8388608 op, 17234300.00 ns, 2.0545 ns/op
OverheadActual   8: 8388608 op, 16717200.00 ns, 1.9928 ns/op
OverheadActual   9: 8388608 op, 16588500.00 ns, 1.9775 ns/op
OverheadActual  10: 8388608 op, 16007900.00 ns, 1.9083 ns/op
OverheadActual  11: 8388608 op, 12373300.00 ns, 1.4750 ns/op
OverheadActual  12: 8388608 op, 12426300.00 ns, 1.4813 ns/op
OverheadActual  13: 8388608 op, 12274000.00 ns, 1.4632 ns/op
OverheadActual  14: 8388608 op, 12584800.00 ns, 1.5002 ns/op
OverheadActual  15: 8388608 op, 12220200.00 ns, 1.4568 ns/op
OverheadActual  16: 8388608 op, 13861200.00 ns, 1.6524 ns/op
OverheadActual  17: 8388608 op, 12583600.00 ns, 1.5001 ns/op
OverheadActual  18: 8388608 op, 12171400.00 ns, 1.4509 ns/op
OverheadActual  19: 8388608 op, 12262800.00 ns, 1.4618 ns/op
OverheadActual  20: 8388608 op, 12322000.00 ns, 1.4689 ns/op

WorkloadWarmup   1: 8388608 op, 853540900.00 ns, 101.7500 ns/op
WorkloadWarmup   2: 8388608 op, 819528800.00 ns, 97.6954 ns/op
WorkloadWarmup   3: 8388608 op, 822384000.00 ns, 98.0358 ns/op
WorkloadWarmup   4: 8388608 op, 806744400.00 ns, 96.1714 ns/op
WorkloadWarmup   5: 8388608 op, 831245600.00 ns, 99.0922 ns/op
WorkloadWarmup   6: 8388608 op, 822884900.00 ns, 98.0955 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 808532700.00 ns, 96.3846 ns/op
WorkloadActual   2: 8388608 op, 807447100.00 ns, 96.2552 ns/op
WorkloadActual   3: 8388608 op, 852199000.00 ns, 101.5900 ns/op
WorkloadActual   4: 8388608 op, 807412300.00 ns, 96.2510 ns/op
WorkloadActual   5: 8388608 op, 800100500.00 ns, 95.3794 ns/op
WorkloadActual   6: 8388608 op, 804280800.00 ns, 95.8777 ns/op
WorkloadActual   7: 8388608 op, 828800700.00 ns, 98.8007 ns/op
WorkloadActual   8: 8388608 op, 804726100.00 ns, 95.9308 ns/op
WorkloadActual   9: 8388608 op, 799236400.00 ns, 95.2764 ns/op
WorkloadActual  10: 8388608 op, 830914600.00 ns, 99.0527 ns/op
WorkloadActual  11: 8388608 op, 789165900.00 ns, 94.0759 ns/op
WorkloadActual  12: 8388608 op, 818087600.00 ns, 97.5236 ns/op
WorkloadActual  13: 8388608 op, 817606500.00 ns, 97.4663 ns/op
WorkloadActual  14: 8388608 op, 809400600.00 ns, 96.4881 ns/op
WorkloadActual  15: 8388608 op, 818696900.00 ns, 97.5963 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 793598150.00 ns, 94.6043 ns/op
WorkloadResult   2: 8388608 op, 792512550.00 ns, 94.4749 ns/op
WorkloadResult   3: 8388608 op, 792477750.00 ns, 94.4707 ns/op
WorkloadResult   4: 8388608 op, 785165950.00 ns, 93.5991 ns/op
WorkloadResult   5: 8388608 op, 789346250.00 ns, 94.0974 ns/op
WorkloadResult   6: 8388608 op, 813866150.00 ns, 97.0204 ns/op
WorkloadResult   7: 8388608 op, 789791550.00 ns, 94.1505 ns/op
WorkloadResult   8: 8388608 op, 784301850.00 ns, 93.4961 ns/op
WorkloadResult   9: 8388608 op, 815980050.00 ns, 97.2724 ns/op
WorkloadResult  10: 8388608 op, 774231350.00 ns, 92.2956 ns/op
WorkloadResult  11: 8388608 op, 803153050.00 ns, 95.7433 ns/op
WorkloadResult  12: 8388608 op, 802671950.00 ns, 95.6860 ns/op
WorkloadResult  13: 8388608 op, 794466050.00 ns, 94.7077 ns/op
WorkloadResult  14: 8388608 op, 803762350.00 ns, 95.8159 ns/op

// AfterAll
// Benchmark Process 32296 has exited with code 0

Mean = 94.817 ns, StdErr = 0.366 ns (0.39%), N = 14, StdDev = 1.368 ns
Min = 92.296 ns, Q1 = 94.111 ns, Median = 94.540 ns, Q3 = 95.729 ns, Max = 97.272 ns
IQR = 1.618 ns, LowerFence = 91.683 ns, UpperFence = 98.156 ns
ConfidenceInterval = [93.273 ns; 96.360 ns] (CI 99.9%), Margin = 1.543 ns (1.63% of Mean)
Skewness = 0.2, Kurtosis = 2.21, MValue = 2

// **************************
// Benchmark: CtorTest.Activator.CreateInstance: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b11de5d8-4295-4fa1-a0f6-90ef3eddf276.dll" --benchmarkName "CtorPerformance.CtorTest.Activator" --job "Default" --benchmarkId 1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\b11de5d8-4295-4fa1-a0f6-90ef3eddf276\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 264100.00 ns, 264.1000 us/op
WorkloadJitting  1: 1 op, 348500.00 ns, 348.5000 us/op

OverheadJitting  2: 16 op, 240600.00 ns, 15.0375 us/op
WorkloadJitting  2: 16 op, 531300.00 ns, 33.2062 us/op

WorkloadPilot    1: 16 op, 145200.00 ns, 9.0750 us/op
WorkloadPilot    2: 32 op, 231100.00 ns, 7.2219 us/op
WorkloadPilot    3: 64 op, 437200.00 ns, 6.8312 us/op
WorkloadPilot    4: 128 op, 854000.00 ns, 6.6719 us/op
WorkloadPilot    5: 256 op, 1622600.00 ns, 6.3383 us/op
WorkloadPilot    6: 512 op, 3195900.00 ns, 6.2420 us/op
WorkloadPilot    7: 1024 op, 6811100.00 ns, 6.6515 us/op
WorkloadPilot    8: 2048 op, 14022700.00 ns, 6.8470 us/op
WorkloadPilot    9: 4096 op, 26006000.00 ns, 6.3491 us/op
WorkloadPilot   10: 8192 op, 51097200.00 ns, 6.2375 us/op
WorkloadPilot   11: 16384 op, 96420700.00 ns, 5.8851 us/op
WorkloadPilot   12: 32768 op, 155307400.00 ns, 4.7396 us/op
WorkloadPilot   13: 65536 op, 317615300.00 ns, 4.8464 us/op
WorkloadPilot   14: 131072 op, 620784200.00 ns, 4.7362 us/op

OverheadWarmup   1: 131072 op, 322700.00 ns, 2.4620 ns/op
OverheadWarmup   2: 131072 op, 218600.00 ns, 1.6678 ns/op
OverheadWarmup   3: 131072 op, 221000.00 ns, 1.6861 ns/op
OverheadWarmup   4: 131072 op, 218900.00 ns, 1.6701 ns/op
OverheadWarmup   5: 131072 op, 218400.00 ns, 1.6663 ns/op
OverheadWarmup   6: 131072 op, 218100.00 ns, 1.6640 ns/op
OverheadWarmup   7: 131072 op, 218000.00 ns, 1.6632 ns/op
OverheadWarmup   8: 131072 op, 218100.00 ns, 1.6640 ns/op
OverheadWarmup   9: 131072 op, 215700.00 ns, 1.6457 ns/op

OverheadActual   1: 131072 op, 218100.00 ns, 1.6640 ns/op
OverheadActual   2: 131072 op, 218100.00 ns, 1.6640 ns/op
OverheadActual   3: 131072 op, 219800.00 ns, 1.6769 ns/op
OverheadActual   4: 131072 op, 218700.00 ns, 1.6685 ns/op
OverheadActual   5: 131072 op, 218600.00 ns, 1.6678 ns/op
OverheadActual   6: 131072 op, 218600.00 ns, 1.6678 ns/op
OverheadActual   7: 131072 op, 217200.00 ns, 1.6571 ns/op
OverheadActual   8: 131072 op, 218500.00 ns, 1.6670 ns/op
OverheadActual   9: 131072 op, 218700.00 ns, 1.6685 ns/op
OverheadActual  10: 131072 op, 217800.00 ns, 1.6617 ns/op
