// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\fa3a019e-8765-4be8-8e12-003a4ca492db
// command took 1.35s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\fa3a019e-8765-4be8-8e12-003a4ca492db
// command took 2.08s and exited with 0
// ***** Done, took 00:00:03 (3.56 sec)   *****
// Found 4 benchmarks:
//   CtorTest.new(): DefaultJob
//   CtorTest.Activator.CreateInstance: DefaultJob
//   CtorTest.'Expression.New [nocache]': DefaultJob
//   CtorTest.'Expression.New [cached]': DefaultJob

// **************************
// Benchmark: CtorTest.new(): DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fa3a019e-8765-4be8-8e12-003a4ca492db.dll" --benchmarkName "CtorPerformance.CtorTest.Manual" --job "Default" --benchmarkId 0 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\fa3a019e-8765-4be8-8e12-003a4ca492db\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 100 op, 246500.00 ns, 2.4650 us/op
WorkloadJitting  1: 100 op, 375400.00 ns, 3.7540 us/op

OverheadJitting  2: 1600 op, 184800.00 ns, 115.5000 ns/op
WorkloadJitting  2: 1600 op, 661400.00 ns, 413.3750 ns/op

WorkloadPilot    1: 1600 op, 366500.00 ns, 229.0625 ns/op
WorkloadPilot    2: 3200 op, 875300.00 ns, 273.5312 ns/op
WorkloadPilot    3: 6400 op, 1759300.00 ns, 274.8906 ns/op
WorkloadPilot    4: 12800 op, 3688200.00 ns, 288.1406 ns/op
WorkloadPilot    5: 25600 op, 6821600.00 ns, 266.4688 ns/op
WorkloadPilot    6: 51200 op, 12159800.00 ns, 237.4961 ns/op
WorkloadPilot    7: 102400 op, 25202700.00 ns, 246.1201 ns/op
WorkloadPilot    8: 204800 op, 48822700.00 ns, 238.3921 ns/op
WorkloadPilot    9: 409600 op, 65646200.00 ns, 160.2690 ns/op
WorkloadPilot   10: 819200 op, 82795500.00 ns, 101.0687 ns/op
WorkloadPilot   11: 1638400 op, 164156900.00 ns, 100.1934 ns/op
WorkloadPilot   12: 3276800 op, 341007600.00 ns, 104.0673 ns/op
WorkloadPilot   13: 6553600 op, 643877200.00 ns, 98.2479 ns/op

OverheadWarmup   1: 6553600 op, 129500.00 ns, 0.0198 ns/op
OverheadWarmup   2: 6553600 op, 123500.00 ns, 0.0188 ns/op
OverheadWarmup   3: 6553600 op, 123900.00 ns, 0.0189 ns/op
OverheadWarmup   4: 6553600 op, 123200.00 ns, 0.0188 ns/op
OverheadWarmup   5: 6553600 op, 124000.00 ns, 0.0189 ns/op
OverheadWarmup   6: 6553600 op, 123900.00 ns, 0.0189 ns/op

OverheadActual   1: 6553600 op, 124000.00 ns, 0.0189 ns/op
OverheadActual   2: 6553600 op, 124100.00 ns, 0.0189 ns/op
OverheadActual   3: 6553600 op, 124200.00 ns, 0.0190 ns/op
OverheadActual   4: 6553600 op, 123500.00 ns, 0.0188 ns/op
OverheadActual   5: 6553600 op, 123100.00 ns, 0.0188 ns/op
OverheadActual   6: 6553600 op, 124400.00 ns, 0.0190 ns/op
OverheadActual   7: 6553600 op, 124100.00 ns, 0.0189 ns/op
OverheadActual   8: 6553600 op, 123000.00 ns, 0.0188 ns/op
OverheadActual   9: 6553600 op, 123800.00 ns, 0.0189 ns/op
OverheadActual  10: 6553600 op, 123700.00 ns, 0.0189 ns/op
OverheadActual  11: 6553600 op, 124400.00 ns, 0.0190 ns/op
OverheadActual  12: 6553600 op, 124900.00 ns, 0.0191 ns/op
OverheadActual  13: 6553600 op, 138100.00 ns, 0.0211 ns/op
OverheadActual  14: 6553600 op, 134100.00 ns, 0.0205 ns/op
OverheadActual  15: 6553600 op, 137100.00 ns, 0.0209 ns/op

WorkloadWarmup   1: 6553600 op, 621183900.00 ns, 94.7851 ns/op
WorkloadWarmup   2: 6553600 op, 674907000.00 ns, 102.9826 ns/op
WorkloadWarmup   3: 6553600 op, 628044100.00 ns, 95.8319 ns/op
WorkloadWarmup   4: 6553600 op, 604742900.00 ns, 92.2764 ns/op
WorkloadWarmup   5: 6553600 op, 611805700.00 ns, 93.3541 ns/op
WorkloadWarmup   6: 6553600 op, 618871900.00 ns, 94.4324 ns/op
WorkloadWarmup   7: 6553600 op, 629709900.00 ns, 96.0861 ns/op
WorkloadWarmup   8: 6553600 op, 633838200.00 ns, 96.7160 ns/op
WorkloadWarmup   9: 6553600 op, 630918900.00 ns, 96.2706 ns/op

// BeforeActualRun
WorkloadActual   1: 6553600 op, 602541000.00 ns, 91.9405 ns/op
WorkloadActual   2: 6553600 op, 612370800.00 ns, 93.4404 ns/op
WorkloadActual   3: 6553600 op, 644923800.00 ns, 98.4076 ns/op
WorkloadActual   4: 6553600 op, 650961400.00 ns, 99.3288 ns/op
WorkloadActual   5: 6553600 op, 658038000.00 ns, 100.4086 ns/op
WorkloadActual   6: 6553600 op, 620488600.00 ns, 94.6790 ns/op
WorkloadActual   7: 6553600 op, 672133800.00 ns, 102.5595 ns/op
WorkloadActual   8: 6553600 op, 661190400.00 ns, 100.8896 ns/op
WorkloadActual   9: 6553600 op, 656463500.00 ns, 100.1684 ns/op
WorkloadActual  10: 6553600 op, 696371400.00 ns, 106.2578 ns/op
WorkloadActual  11: 6553600 op, 672983700.00 ns, 102.6892 ns/op
WorkloadActual  12: 6553600 op, 645497000.00 ns, 98.4950 ns/op
WorkloadActual  13: 6553600 op, 634704200.00 ns, 96.8482 ns/op
WorkloadActual  14: 6553600 op, 631875700.00 ns, 96.4166 ns/op
WorkloadActual  15: 6553600 op, 624196200.00 ns, 95.2448 ns/op
WorkloadActual  16: 6553600 op, 653384400.00 ns, 99.6985 ns/op
WorkloadActual  17: 6553600 op, 631034800.00 ns, 96.2883 ns/op
WorkloadActual  18: 6553600 op, 594949800.00 ns, 90.7821 ns/op
WorkloadActual  19: 6553600 op, 605725100.00 ns, 92.4263 ns/op
WorkloadActual  20: 6553600 op, 631932300.00 ns, 96.4252 ns/op
WorkloadActual  21: 6553600 op, 614610900.00 ns, 93.7822 ns/op
WorkloadActual  22: 6553600 op, 609013900.00 ns, 92.9281 ns/op
WorkloadActual  23: 6553600 op, 618804200.00 ns, 94.4220 ns/op
WorkloadActual  24: 6553600 op, 640982900.00 ns, 97.8062 ns/op
WorkloadActual  25: 6553600 op, 615864600.00 ns, 93.9735 ns/op
WorkloadActual  26: 6553600 op, 618750000.00 ns, 94.4138 ns/op
WorkloadActual  27: 6553600 op, 618095000.00 ns, 94.3138 ns/op
WorkloadActual  28: 6553600 op, 624065000.00 ns, 95.2248 ns/op
WorkloadActual  29: 6553600 op, 599895500.00 ns, 91.5368 ns/op
WorkloadActual  30: 6553600 op, 632185300.00 ns, 96.4638 ns/op
WorkloadActual  31: 6553600 op, 676334900.00 ns, 103.2005 ns/op
WorkloadActual  32: 6553600 op, 662801400.00 ns, 101.1355 ns/op
WorkloadActual  33: 6553600 op, 686427400.00 ns, 104.7405 ns/op
WorkloadActual  34: 6553600 op, 711497900.00 ns, 108.5660 ns/op
WorkloadActual  35: 6553600 op, 677916200.00 ns, 103.4418 ns/op
WorkloadActual  36: 6553600 op, 674650600.00 ns, 102.9435 ns/op
WorkloadActual  37: 6553600 op, 894826000.00 ns, 136.5396 ns/op
WorkloadActual  38: 6553600 op, 655979900.00 ns, 100.0946 ns/op
WorkloadActual  39: 6553600 op, 680283200.00 ns, 103.8030 ns/op
WorkloadActual  40: 6553600 op, 609589200.00 ns, 93.0159 ns/op
WorkloadActual  41: 6553600 op, 613716500.00 ns, 93.6457 ns/op
WorkloadActual  42: 6553600 op, 607837700.00 ns, 92.7487 ns/op
WorkloadActual  43: 6553600 op, 626324600.00 ns, 95.5695 ns/op
WorkloadActual  44: 6553600 op, 643550200.00 ns, 98.1980 ns/op
WorkloadActual  45: 6553600 op, 616461500.00 ns, 94.0646 ns/op
WorkloadActual  46: 6553600 op, 630901100.00 ns, 96.2679 ns/op
WorkloadActual  47: 6553600 op, 606071200.00 ns, 92.4791 ns/op
WorkloadActual  48: 6553600 op, 623189400.00 ns, 95.0912 ns/op
WorkloadActual  49: 6553600 op, 633699000.00 ns, 96.6948 ns/op
WorkloadActual  50: 6553600 op, 609134400.00 ns, 92.9465 ns/op
