// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\97c3b19d-9666-4988-a5ee-980494c3042b
// command took 1.89s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\97c3b19d-9666-4988-a5ee-980494c3042b
// command took 2.78s and exited with 0
// ***** Done, took 00:00:04 (4.85 sec)   *****
// Found 4 benchmarks:
//   CtorTest.new(): DefaultJob
//   CtorTest.Activator.CreateInstance: DefaultJob
//   CtorTest.'Expression.New [nocache]': DefaultJob
//   CtorTest.'Expression.New [cached]': DefaultJob

// **************************
// Benchmark: CtorTest.new(): DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "97c3b19d-9666-4988-a5ee-980494c3042b.dll" --benchmarkName "CtorPerformance.CtorTest.Manual" --job "Default" --benchmarkId 0 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\97c3b19d-9666-4988-a5ee-980494c3042b\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 100 op, 424200.00 ns, 4.2420 us/op
WorkloadJitting  1: 100 op, 839200.00 ns, 8.3920 us/op

OverheadJitting  2: 1600 op, 240400.00 ns, 150.2500 ns/op
WorkloadJitting  2: 1600 op, 909300.00 ns, 568.3125 ns/op

WorkloadPilot    1: 1600 op, 739700.00 ns, 462.3125 ns/op
WorkloadPilot    2: 3200 op, 1303200.00 ns, 407.2500 ns/op
WorkloadPilot    3: 6400 op, 2359800.00 ns, 368.7188 ns/op
WorkloadPilot    4: 12800 op, 4830100.00 ns, 377.3516 ns/op
WorkloadPilot    5: 25600 op, 9007700.00 ns, 351.8633 ns/op
WorkloadPilot    6: 51200 op, 16516300.00 ns, 322.5840 ns/op
WorkloadPilot    7: 102400 op, 35576000.00 ns, 347.4219 ns/op
WorkloadPilot    8: 204800 op, 66140000.00 ns, 322.9492 ns/op
WorkloadPilot    9: 409600 op, 67458200.00 ns, 164.6929 ns/op
WorkloadPilot   10: 819200 op, 118652600.00 ns, 144.8396 ns/op
WorkloadPilot   11: 1638400 op, 206884500.00 ns, 126.2723 ns/op
WorkloadPilot   12: 3276800 op, 386711900.00 ns, 118.0151 ns/op
WorkloadPilot   13: 6553600 op, 748497200.00 ns, 114.2116 ns/op

OverheadWarmup   1: 6553600 op, 112900.00 ns, 0.0172 ns/op
OverheadWarmup   2: 6553600 op, 111000.00 ns, 0.0169 ns/op
OverheadWarmup   3: 6553600 op, 111900.00 ns, 0.0171 ns/op
OverheadWarmup   4: 6553600 op, 112500.00 ns, 0.0172 ns/op
OverheadWarmup   5: 6553600 op, 118900.00 ns, 0.0181 ns/op
OverheadWarmup   6: 6553600 op, 111700.00 ns, 0.0170 ns/op
OverheadWarmup   7: 6553600 op, 110100.00 ns, 0.0168 ns/op
OverheadWarmup   8: 6553600 op, 111700.00 ns, 0.0170 ns/op
OverheadWarmup   9: 6553600 op, 126000.00 ns, 0.0192 ns/op
OverheadWarmup  10: 6553600 op, 110500.00 ns, 0.0169 ns/op

OverheadActual   1: 6553600 op, 110400.00 ns, 0.0168 ns/op
OverheadActual   2: 6553600 op, 110400.00 ns, 0.0168 ns/op
OverheadActual   3: 6553600 op, 111000.00 ns, 0.0169 ns/op
OverheadActual   4: 6553600 op, 110900.00 ns, 0.0169 ns/op
OverheadActual   5: 6553600 op, 113800.00 ns, 0.0174 ns/op
OverheadActual   6: 6553600 op, 118000.00 ns, 0.0180 ns/op
OverheadActual   7: 6553600 op, 109200.00 ns, 0.0167 ns/op
OverheadActual   8: 6553600 op, 110300.00 ns, 0.0168 ns/op
OverheadActual   9: 6553600 op, 108900.00 ns, 0.0166 ns/op
OverheadActual  10: 6553600 op, 110800.00 ns, 0.0169 ns/op
OverheadActual  11: 6553600 op, 112600.00 ns, 0.0172 ns/op
OverheadActual  12: 6553600 op, 109000.00 ns, 0.0166 ns/op
OverheadActual  13: 6553600 op, 109900.00 ns, 0.0168 ns/op
OverheadActual  14: 6553600 op, 110500.00 ns, 0.0169 ns/op
OverheadActual  15: 6553600 op, 109900.00 ns, 0.0168 ns/op

WorkloadWarmup   1: 6553600 op, 798091400.00 ns, 121.7791 ns/op
WorkloadWarmup   2: 6553600 op, 760748500.00 ns, 116.0810 ns/op
WorkloadWarmup   3: 6553600 op, 767554500.00 ns, 117.1195 ns/op
WorkloadWarmup   4: 6553600 op, 780322800.00 ns, 119.0678 ns/op
WorkloadWarmup   5: 6553600 op, 786557300.00 ns, 120.0191 ns/op
WorkloadWarmup   6: 6553600 op, 783642200.00 ns, 119.5743 ns/op
WorkloadWarmup   7: 6553600 op, 846086000.00 ns, 129.1025 ns/op
WorkloadWarmup   8: 6553600 op, 949328600.00 ns, 144.8560 ns/op
WorkloadWarmup   9: 6553600 op, 1049619900.00 ns, 160.1593 ns/op
WorkloadWarmup  10: 6553600 op, 1319173900.00 ns, 201.2900 ns/op
WorkloadWarmup  11: 6553600 op, 1142669900.00 ns, 174.3576 ns/op

// BeforeActualRun
WorkloadActual   1: 6553600 op, 866212700.00 ns, 132.1736 ns/op
WorkloadActual   2: 6553600 op, 908532600.00 ns, 138.6311 ns/op
WorkloadActual   3: 6553600 op, 812197700.00 ns, 123.9315 ns/op
WorkloadActual   4: 6553600 op, 847892500.00 ns, 129.3781 ns/op
WorkloadActual   5: 6553600 op, 825481600.00 ns, 125.9585 ns/op
WorkloadActual   6: 6553600 op, 877823800.00 ns, 133.9453 ns/op
WorkloadActual   7: 6553600 op, 765449800.00 ns, 116.7984 ns/op
WorkloadActual   8: 6553600 op, 816183200.00 ns, 124.5397 ns/op
WorkloadActual   9: 6553600 op, 968644100.00 ns, 147.8034 ns/op
WorkloadActual  10: 6553600 op, 1124979400.00 ns, 171.6582 ns/op
WorkloadActual  11: 6553600 op, 1105357400.00 ns, 168.6642 ns/op
WorkloadActual  12: 6553600 op, 1137752700.00 ns, 173.6073 ns/op
WorkloadActual  13: 6553600 op, 1253371600.00 ns, 191.2493 ns/op
WorkloadActual  14: 6553600 op, 1304571600.00 ns, 199.0618 ns/op
WorkloadActual  15: 6553600 op, 1040412400.00 ns, 158.7543 ns/op
WorkloadActual  16: 6553600 op, 1011615200.00 ns, 154.3602 ns/op
WorkloadActual  17: 6553600 op, 956088500.00 ns, 145.8875 ns/op
WorkloadActual  18: 6553600 op, 932135500.00 ns, 142.2326 ns/op
WorkloadActual  19: 6553600 op, 858622200.00 ns, 131.0154 ns/op
WorkloadActual  20: 6553600 op, 900465900.00 ns, 137.4002 ns/op
WorkloadActual  21: 6553600 op, 881215200.00 ns, 134.4628 ns/op
WorkloadActual  22: 6553600 op, 882894800.00 ns, 134.7191 ns/op
WorkloadActual  23: 6553600 op, 949986100.00 ns, 144.9564 ns/op
WorkloadActual  24: 6553600 op, 865545300.00 ns, 132.0717 ns/op
WorkloadActual  25: 6553600 op, 889961200.00 ns, 135.7973 ns/op
WorkloadActual  26: 6553600 op, 959904400.00 ns, 146.4698 ns/op
WorkloadActual  27: 6553600 op, 928169000.00 ns, 141.6273 ns/op
WorkloadActual  28: 6553600 op, 952693500.00 ns, 145.3695 ns/op
WorkloadActual  29: 6553600 op, 924926100.00 ns, 141.1325 ns/op
WorkloadActual  30: 6553600 op, 905314400.00 ns, 138.1400 ns/op
