// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\308cd67a-5730-4011-b373-381754b485ad
// command took 1.35s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\308cd67a-5730-4011-b373-381754b485ad
// command took 2s and exited with 0
// ***** Done, took 00:00:03 (3.48 sec)   *****
// Found 3 benchmarks:
//   CtorTest.new(): DefaultJob
//   CtorTest.Activator.CreateInstance: DefaultJob
//   CtorTest.Expression.New: DefaultJob

// **************************
// Benchmark: CtorTest.new(): DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "308cd67a-5730-4011-b373-381754b485ad.dll" --benchmarkName "CtorPerformance.CtorTest.Manual" --job "Default" --benchmarkId 0 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\308cd67a-5730-4011-b373-381754b485ad\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 200 op, 257900.00 ns, 1.2895 us/op
WorkloadJitting  1: 200 op, 351700.00 ns, 1.7585 us/op

OverheadJitting  2: 3200 op, 229400.00 ns, 71.6875 ns/op
WorkloadJitting  2: 3200 op, 428700.00 ns, 133.9688 ns/op

WorkloadPilot    1: 3200 op, 70700.00 ns, 22.0938 ns/op
WorkloadPilot    2: 6400 op, 208200.00 ns, 32.5312 ns/op
WorkloadPilot    3: 12800 op, 442100.00 ns, 34.5391 ns/op
WorkloadPilot    4: 25600 op, 734700.00 ns, 28.6992 ns/op
WorkloadPilot    5: 51200 op, 1431600.00 ns, 27.9609 ns/op
WorkloadPilot    6: 102400 op, 3103500.00 ns, 30.3076 ns/op
WorkloadPilot    7: 204800 op, 5139800.00 ns, 25.0967 ns/op
WorkloadPilot    8: 409600 op, 8961200.00 ns, 21.8779 ns/op
WorkloadPilot    9: 819200 op, 19124400.00 ns, 23.3452 ns/op
WorkloadPilot   10: 1638400 op, 40016500.00 ns, 24.4241 ns/op
WorkloadPilot   11: 3276800 op, 57156400.00 ns, 17.4427 ns/op
WorkloadPilot   12: 6553600 op, 84936500.00 ns, 12.9603 ns/op
WorkloadPilot   13: 13107200 op, 170986800.00 ns, 13.0453 ns/op
WorkloadPilot   14: 26214400 op, 312548400.00 ns, 11.9228 ns/op
WorkloadPilot   15: 52428800 op, 613141900.00 ns, 11.6948 ns/op

OverheadWarmup   1: 52428800 op, 466100.00 ns, 0.0089 ns/op
OverheadWarmup   2: 52428800 op, 463700.00 ns, 0.0088 ns/op
OverheadWarmup   3: 52428800 op, 464200.00 ns, 0.0089 ns/op
OverheadWarmup   4: 52428800 op, 515100.00 ns, 0.0098 ns/op
OverheadWarmup   5: 52428800 op, 464900.00 ns, 0.0089 ns/op
OverheadWarmup   6: 52428800 op, 460200.00 ns, 0.0088 ns/op
OverheadWarmup   7: 52428800 op, 467100.00 ns, 0.0089 ns/op
OverheadWarmup   8: 52428800 op, 502700.00 ns, 0.0096 ns/op
OverheadWarmup   9: 52428800 op, 468300.00 ns, 0.0089 ns/op

OverheadActual   1: 52428800 op, 464000.00 ns, 0.0089 ns/op
OverheadActual   2: 52428800 op, 464400.00 ns, 0.0089 ns/op
OverheadActual   3: 52428800 op, 465000.00 ns, 0.0089 ns/op
